Neighborhood,Date,Rent,predicted_rent_xgb,predicted_rent_prophet,predicted_lstm,predicted_ensemble,residual,kalman_estimate,upper_bound,lower_bound,smoothed_std,anomaly_score,is_anomaly
Beverly Hills,2022-01-31,6427.59296157712,6259.767,6150.046869076152,6480.732199311553,6305.368325852515,122.22463572460492,6427.596121471336,6429.595900223891,6425.596342718782,0.9998893762772003,0.003160243782298676,False
Beverly Hills,2022-02-28,6487.461972748955,6202.75,6161.410998157897,6495.823353414642,6297.6700002044145,189.79197254454084,6472.514620269607,6591.751266154523,6353.27797438469,59.618322942458256,0.25071742610519177,False
Beverly Hills,2022-03-31,6472.219521537098,6321.0093,6171.529798597473,6504.1095121208555,6339.439646640278,132.77987489682073,6523.590371605378,6645.513275501841,6401.667467708915,60.96145194823144,0.8426776006496216,False
Beverly Hills,2022-04-30,6698.274628741606,6330.495,6142.632110909576,6516.520894258857,6337.322179475599,360.9524492660066,6679.628679089457,6801.672608312416,6557.584749866499,61.0219646114793,0.30556128056200166,False
Beverly Hills,2022-05-31,6803.122365193703,6339.4473,6120.218196807228,6539.08292858616,6340.949204916883,462.17316027682045,6787.383884849507,6909.433327300157,6665.334442398857,61.02472122532503,0.25790335499453276,False
Beverly Hills,2022-06-30,6913.100707879746,6268.7383,6171.100824718478,6571.551752713854,6348.658282121851,564.4424257578949,6853.618089309711,6975.667783036087,6731.568395583335,61.02484686318794,0.9747278627940215,False
Beverly Hills,2022-07-31,6771.818261229069,6265.576,6269.04343889384,6608.579172265326,6393.8052603176875,378.0130009113818,6784.93626022051,6906.985965399508,6662.886555041512,61.02485258949903,0.2149615842177141,False
Beverly Hills,2022-08-31,6689.612671305207,6187.0347,6339.458500020826,6637.607351953583,6404.354213400062,285.2584579051454,6719.666480117194,6841.716185818179,6597.6167744162085,61.02485285049257,0.4924847402859259,False
Beverly Hills,2022-09-30,6687.94877615459,6026.5054,6387.302420780728,6656.124587675034,6379.0369938743015,308.9117822802882,6705.612978064301,6827.662683789078,6583.563272339525,61.024852862388144,0.2894591478434218,False
Beverly Hills,2022-10-31,6835.945345677373,6052.813,6459.082399211796,6663.076887770057,6413.203740207404,422.7416054699688,6802.226371822625,6924.276077548486,6680.176666096764,61.0248528629303,0.5525449430408197,False
Beverly Hills,2022-11-30,6768.71673812275,5922.2705,6525.618927165545,6661.190174176238,6395.470328831939,373.2464092908112,6749.237153739772,6871.286859465682,6627.187448013862,61.024852862955015,0.3192073961002678,False
Beverly Hills,2022-12-31,6649.243997172474,5702.3604,6542.9035788636165,6650.103483190567,6331.331268754283,317.91272841819136,6593.399193285902,6715.448899011814,6471.349487559989,61.02485286295613,0.9151157480515768,False
Beverly Hills,2023-01-31,6608.856166066006,6252.4023,7001.699150961024,6816.810921734761,6709.186925157539,-100.33075909153284,6717.742769179522,6839.792474905435,6595.693063453609,61.024852862956195,1.7842993139237868,False
Beverly Hills,2023-02-28,6832.875798941626,6268.0405,7105.63614772279,6803.8503569198565,6743.415278306429,89.4605206351971,6813.963552489288,6936.013258215201,6691.913846763376,61.024852862956195,0.3099105620411766,False
Beverly Hills,2023-03-31,6877.871328408235,6384.137,7122.440562044656,6796.122026110275,6780.814784589002,97.0565438192334,6858.556285982081,6980.605991707994,6736.5065802561685,61.024852862956195,0.3165110855140396,False
Beverly Hills,2023-04-30,6783.20654427167,6304.31,7126.41395129513,6792.957942216709,6757.090643108895,26.115901162775117,6786.059046792584,6908.108752518497,6664.009341066671,61.024852862956195,0.046743292062533554,False
Beverly Hills,2023-05-31,6747.903675923142,6293.288,7198.753992737803,6790.319503649217,6776.729017405607,-28.825341482464864,6765.1895955650325,6887.239301290945,6643.13988983912,61.024852862956195,0.283260324738133,False
Beverly Hills,2023-06-30,6783.805810051977,6316.958,7268.390570285654,6787.490896858597,6805.774909978519,-21.969099926542185,6803.814500316007,6925.86420604192,6681.764794590094,61.024852862956195,0.3278777304991682,False
Beverly Hills,2023-07-31,6902.6149176435265,6369.208,7277.108914266401,6784.957830846157,6823.338878910373,79.27603873315365,6888.933686490651,7010.9833922165635,6766.883980764738,61.024852862956195,0.22419113703326282,False
Beverly Hills,2023-08-31,6901.230153859917,6343.5947,7294.102512844235,6785.288138779631,6821.420884740298,79.80926911961888,6914.928841422456,7036.978547148368,6792.879135696543,61.024852862956195,0.22447719113813094,False
Beverly Hills,2023-09-30,7026.903600335141,6336.938,7368.724562586364,6786.518374503171,6844.5519531895425,182.3516471455987,7005.6657079557635,7127.715413681676,6883.616002229851,61.024852862956195,0.3480203782480469,False
Beverly Hills,2023-10-31,7076.799485324742,6374.4346,7430.966782645427,6788.568978045451,6877.0951104374735,199.7043748872684,7044.276782123045,7166.326487848958,6922.227076397133,61.024852862956195,0.532941935466906,False
Beverly Hills,2023-11-30,6987.181973922573,6416.6074,7441.4356236252,6789.412923131386,6893.4761764278865,93.70579749468652,6972.4895664011365,7094.539272127049,6850.439860675224,61.024852862956195,0.24076104783117966,False
Beverly Hills,2023-12-31,6890.400888185774,6481.324,7496.197010726711,6790.108998037314,6931.182516704162,-40.78162851838715,6879.455621494744,7001.505327220657,6757.405915768832,61.024852862956195,0.17935752690492213,False
Beverly Hills,2024-01-31,6853.813055833017,6816.543,7243.651222630279,7263.270718611536,7123.231372359194,-269.4183165261775,6909.049721015054,7031.099426740967,6787.000015289142,61.024852862956195,0.9051503212474971,False
Beverly Hills,2024-02-29,6891.078401844294,6756.689,7357.854383998588,7250.53420436226,7138.366826790043,-247.28842494574928,6921.781486393889,7043.831192119802,6799.731780667977,61.024852862956195,0.5031242699349789,False
Beverly Hills,2024-03-31,7033.620224720109,6803.8774,7386.953870001621,7245.196853931905,7160.1153061959185,-126.49508147580946,7030.090037117764,7152.139742843677,6908.040331391851,61.024852862956195,0.05784835908894808,False
Beverly Hills,2024-04-30,7097.568154062814,6845.9062,7368.634147801504,7241.479575766593,7165.247692068791,-67.67953800597752,7111.553594882947,7233.60330060886,6989.503889157035,61.024852862956195,0.22917614974425257,False
Beverly Hills,2024-05-31,7258.3126550223,6833.6636,7407.434412015467,7246.033554197304,7176.099811216688,82.21284380561156,7239.260417159295,7361.310122885207,7117.210711433382,61.024852862956195,0.31220456856599893,False
Beverly Hills,2024-06-30,7338.785359152478,6866.734,7475.130528913809,7251.090957843359,7210.236444394819,128.54891475765908,7335.046918231197,7457.09662395711,7212.997212505285,61.024852862956195,0.06126095754894733,False
Beverly Hills,2024-07-31,7451.771908960451,6905.792,7501.675675207754,7253.684616900273,7231.648393103783,220.12351585666784,7407.276410748024,7529.326116473937,7285.226705022112,61.024852862956195,0.729137328770931,False
Beverly Hills,2024-08-31,7314.726768535875,6909.6504,7525.224390549346,7244.573839282279,7237.210076249638,77.51669228623632,7334.727652172461,7456.777357898373,7212.677946446548,61.024852862956195,0.32774980511996565,False
Beverly Hills,2024-09-30,7337.097546770253,6933.338,7600.582212277388,7234.462810739539,7265.454167225138,71.64337954511484,7342.81488638832,7464.864592114232,7220.765180662407,61.024852862956195,0.09368870794280347,False
Beverly Hills,2024-10-31,7346.495634640109,6974.907,7665.072378753201,7224.895709218769,7295.653469433633,50.84216520647533,7369.423616273975,7491.473321999888,7247.373910548063,61.024852862956195,0.37571547581768067,False
Beverly Hills,2024-11-30,7461.745711156686,6949.248,7653.758822312601,7225.98308426631,7284.645740179705,177.09997097698124,7421.260316058342,7543.310021784255,7299.2106103324295,61.024852862956195,0.6634247063672283,False
Beverly Hills,2024-12-31,7248.158584884635,6926.7153,7654.249040808963,7232.278427494655,7280.403799842536,-32.245214957900316,7362.554298436709,7484.604004162622,7240.504592710797,61.024852862956195,1.8745758189737438,False
Beverly Hills,2025-01-31,7562.076781444176,6822.8433,7465.194575837833,7322.577231978516,7220.316376577941,341.76040486623515,7579.470238279969,7701.519944005881,7457.420532554056,61.0248528629562,0.2850225115987255,False
Beverly Hills,2025-02-28,8008.718881179309,7042.7173,7556.011479218964,7305.229579061583,7309.6412631825615,699.0776179967479,7996.196920223122,8118.246625949035,7874.1472144972095,61.02485286295644,0.20519444728946612,False
Beverly Hills,2025-03-31,8431.527726027878,7144.148,7603.364995440696,7297.585541639133,7352.785104938038,1078.7426210898402,8330.459533959352,8452.509239685276,8208.409828233429,61.02485286296172,1.656180839615033,False
Beverly Hills,2025-04-30,8342.566083680718,7194.529,7603.44417682773,7295.650076856261,7367.156162595861,975.4099210848572,8343.099099459461,8465.148805185616,8221.049393733307,61.0248528630775,0.008734404978436984,False
Beverly Hills,2025-05-31,8333.638141617552,7093.8735,7650.639007044325,7295.346499582943,7352.551216657357,981.0869249601948,8328.307101888007,8450.356807619242,8206.257396156772,61.02485286561777,0.08735850196001857,False
Beverly Hills,2025-06-30,8340.072302972287,7152.0166,7730.999912689581,7293.217307367588,7395.707160860677,944.3651421116092,8355.829033738313,8477.878739581018,8233.779327895609,61.02485292135223,0.25820186381688626,False
Beverly Hills,2025-07-31,8432.814578996957,7197.593,7762.22753277472,7283.870916743111,7416.19178694636,1016.6227920505962,8406.33558206672,8528.385290355101,8284.285873778339,61.0248541441903,0.43390512435035894,False
Beverly Hills,2025-08-31,8356.848455885818,7212.5806,7761.0932064339695,7267.622294452761,7414.277428083571,942.571027802247,8357.718895349415,8479.76865729697,8235.66913340186,61.02488097377728,0.014263681461802284,False
Beverly Hills,2025-09-30,8367.152151306549,7273.8984,7810.008218498796,7244.073607376262,7440.052496501301,927.099654805248,8339.313778850124,8461.364718097097,8217.262839603152,61.02546962348619,0.45617629202396204,False
Beverly Hills,2025-10-31,8217.117565430519,7336.125,7878.113661355651,7216.073393876614,7470.793115198235,746.3244502322841,8245.211102306255,8367.28786915148,8123.134335461032,61.03838342261195,0.4602601723021126,False
Beverly Hills,2025-11-30,8205.897641189953,7438.465,7873.609130862193,7187.889724756152,7489.457829010996,716.4398121789573,8220.434983178766,8343.07704982861,8097.792916528923,61.321033324921395,0.23706942297291728,False
Beverly Hills,2025-12-31,8133.311248123243,7222.9854,7838.743996066691,7162.501531842046,7404.107148845678,729.2040992775646,8133.766163218912,8268.214312450376,7999.318013987448,67.22407461573216,0.006767145523412835,False
Boyle Heights,2022-01-31,1960.3910125643497,1988.9377,1960.435709379086,1994.6334262914145,1981.6270070033845,-21.235994439034812,1960.410006478825,1962.4081765436854,1958.4118364139645,0.9990850324302865,0.019011309016326226,False
Boyle Heights,2022-02-28,1952.4089672528376,1984.5509,1971.130147143914,1991.9902087389987,1982.871116344864,-30.462149092026493,1968.5208121282174,1998.031906738521,1939.0097175179137,14.75554730515177,1.091917807673275,False
Boyle Heights,2022-03-31,1973.801265098329,2008.539,1973.7244529909576,1989.471689777983,1989.9670336893223,-16.165768590993366,1986.7317252481726,2021.1519740206634,1952.3114764756817,17.210124386245447,0.7513286860764652,False
Boyle Heights,2022-04-30,2004.743366328242,2006.3453,1978.7483664012705,1989.1419709144827,1990.8496307601736,13.89373556806845,2002.138764212894,2038.171755393905,1966.1057730318832,18.016495590505407,0.14456763252421023,False
Boyle Heights,2022-05-31,2071.991036757228,2232.6475,1989.1228445523268,1990.780117398076,2062.541354342017,9.4496824152111,2087.668159808095,2124.2674965331234,2051.0688230830665,18.29966836251435,0.8566889154348676,False
Boyle Heights,2022-06-30,2102.8213423070288,2257.4028,1992.9228974783337,1993.9813231548856,2072.384344956143,30.436997350885576,2115.4824963894553,2152.2847189096537,2078.680273869257,18.401111260099157,0.688064644389179,False
Boyle Heights,2022-07-31,2132.430871896524,2247.4153,1995.768414055126,1997.5941630144011,2071.6775784092106,60.753293487313385,2136.085512504214,2172.9609107116253,2099.2101142968027,18.43769910370568,0.19821565506366887,False
Boyle Heights,2022-08-31,2170.6302015873675,2143.197,2016.4313927247536,2000.937554292702,2048.588936224849,122.04126536251852,2135.2702923330853,2172.1721466147037,2098.368438051467,18.450927140809092,1.916429942260742,False
Boyle Heights,2022-09-30,2206.9146318485405,2251.9912,2045.836725773126,2002.993128677806,2091.59535843668,115.31927341186064,2191.2265932382697,2228.1380207575,2154.3151657190397,18.455713759614962,0.8500369482376308,False
Boyle Heights,2022-10-31,2238.083541243868,2142.522,2056.565864305387,2003.5428535953797,2062.618338879557,175.4652023643107,2171.0629002545575,2207.9777929682086,2134.1480075409063,18.457446356825475,3.631089569886005,True
Boyle Heights,2022-11-30,2198.521641082875,2095.892,2045.873324348028,2003.056174495767,2044.963168551649,153.5584725312258,2144.549352506241,2181.465499646678,2107.6332053658043,18.458073570218364,2.9240477529830695,True
Boyle Heights,2022-12-31,2201.679756278299,2162.3513,2041.5038850613205,2001.594322017704,2062.8460578559752,138.83369842232378,2139.342691821289,2176.259293092303,2102.426090550275,18.458300635506838,3.377183287573346,True
Boyle Heights,2023-01-31,2141.6131183983784,2062.8157,2228.9480651692575,2165.073769039069,2155.615375984313,-14.00225758593433,2192.5857005580688,2229.502466236944,2155.6689348791933,18.458382839437775,2.7614868851440524,True
Boyle Heights,2023-02-28,2138.1609937078206,2103.7295,2249.772553269258,2158.7995387281535,2172.405682106322,-34.244688398500784,2183.28992063509,2220.2067458344886,2146.373095435691,18.458412599699347,2.444897504542474,True
Boyle Heights,2023-03-31,2123.824025615749,2068.8367,2265.6345818770383,2153.4860711722495,2165.2484225659987,-41.4243969502495,2161.945969422097,2198.8628161697325,2125.029122674461,18.458423373817723,2.0652871057107016,True
Boyle Heights,2023-04-30,2143.2450834820543,2058.0667,2292.8263430783404,2149.6700262198583,2169.6026455488045,-26.357562066750233,2162.1653250160707,2199.0821795648276,2125.248470467314,18.45842727437849,1.0250191548024672,False
Boyle Heights,2023-05-31,2181.411494689336,2011.1792,2332.5456019900794,2148.2863900256616,2168.2011422071496,13.210352482186408,2161.6177592708123,2198.534616643815,2124.7009018978097,18.458428686501342,1.0723412996836232,False
Boyle Heights,2023-06-30,2139.537806472773,1977.2808,2359.9905697923255,2148.3483963369154,2167.1613822982467,-27.623575825473836,2156.2128129976163,2193.1296713930833,2119.2959546021493,18.458429197733405,0.9033816657517745,False
Boyle Heights,2023-07-31,2136.95335508915,1988.1029,2379.506327223556,2149.420169965568,2177.244550021027,-40.29119493187682,2166.327585778152,2203.244444543783,2129.4107270125205,18.45842938281563,1.5913721619475767,False
Boyle Heights,2023-08-31,2172.5266179048995,1993.7441,2414.9843937200094,2151.136173918529,2191.2936529823205,-18.76703507742104,2188.1535600632305,2225.0704189628755,2151.2367011635856,18.458429449822447,0.8466019382822071,False
Boyle Heights,2023-09-30,2213.1610786517003,2009.6566,2457.3213227892597,2153.2817210389912,2210.8397342079443,2.321344443756061,2219.596955092361,2256.5138140405306,2182.6800961441913,18.458429474084728,0.34866869070360546,False
Boyle Heights,2023-10-31,2216.94641089298,2004.729,2475.202323776247,2155.6085380778,2216.138996057098,0.8074148358819002,2238.4905139687166,2275.407372934474,2201.573655002959,18.458429482878792,1.167168804044146,False
